section,group,questions
Math,Advanced Math — Equivalent Expressions,70
Math,Advanced Math — Nonlinear Equations and Systems,84
Math,Algebra — Linear Equations,146
Math,Algebra — Linear Functions,195
Math,Algebra — Linear Inequalities,45
Math,Algebra — Systems of Equations,62
Math,Geometry and Trigonometry — Area and Volume,59
Math,Geometry and Trigonometry — Circles,32
Math,"Geometry and Trigonometry — Lines, Angles, and Triangles",48
Math,Geometry and Trigonometry — Right Triangles and Trigonometry,33
Math,Problem-Solving and Data Analysis — Evaluating Statistical Claims,11
Math,Problem-Solving and Data Analysis — One-Variable Data,49
Math,Problem-Solving and Data Analysis — Percentages,52
Math,Problem-Solving and Data Analysis — Probability,36
Math,"Problem-Solving and Data Analysis — Ratios, Rates, Proportions, and Units",57
Math,Problem-Solving and Data Analysis — Sample Statistics and Margin of Error,18
Math,Problem-Solving and Data Analysis — Two-Variable Data,39
Reading and Writing,Craft and Structure — Text Structure and Purpose,66
Reading and Writing,Craft and Structure — Words in Context,111
Reading and Writing,Expression of Ideas — Rhetorical Synthesis,92
Reading and Writing,Expression of Ideas — Transitions,75
Reading and Writing,Information and Ideas — Central Ideas and Details,67
Reading and Writing,Information and Ideas — Command of Evidence,136
Reading and Writing,Information and Ideas — Cross-Text Connections,41
Reading and Writing,Information and Ideas — Inferences,71
Reading and Writing,Standard English Conventions — Boundaries,95
Reading and Writing,"Standard English Conventions — Form, Structure, and Sense",92
