import_id,section,domain,skill,group,source_question_pdf,question_number,question_id,Question,A,B,C,D,Answer
ocr-00114,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.1,e312081b,Equivalent Expressions 1 1 esos (+8) +(2x-3) Which ofthe folowing is equivalent to,Aox-2 83x42 ©.3x-8 2.348,,,,B
ocr-00123,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.1,fb96a5b3,Mo fescases \Wihich ofthe following expressions is ‘equivalent to 2(ab 3) +22,A. 2ab—1 8.2ab-4 ©.2ab-5 2.2ab-8 in esa7oso a,,,,B
ocr-00124,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.11,e597050f,un ess7sof rs Which expression is equivalent to 92 + 62+ 2y-+ 3y?,ASe45y 8.65 + 8y ote + 8y,bbe + 5y wa esenes Which expression is equivalent to 256u* — 6767 A. (16w ~ 26)(16w ~ 26) 8. (8w—13)(8w +13),,,D
ocr-00125,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.12,1e8d7183,©. (8w —13)(8w 13) 0. (16. — 26)(16w + 26),,,,,D
ocr-00126,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.13,0354c7de,Equivalent Expressions 1 M3 assicrde Bet 15 Which ofthe folowing is equivalent to,"A.5lx+3) 8, 5x+10) ©.5(x +15) 0.5(x +20)",,,,A
ocr-00127,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.14,974d33dc,wg sade ‘hich of the following expressions is equivalent tothe sum of (+5747) an P +8r+12)2,A PHI3P +19 3.274137 +19 Pts eTre12,,,DP +6 +8r+19,D
ocr-00128,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.15,d4d513ff,was deasistt ‘Which expression is equivalent to 122+ 27?,A.12(92 +1) 2.27(122 +1) ©.8(42 +9) 0. 8(92 +24) was sasseer3_—_ Which expression is equivalent to 34 + 34y?,,,,C
ocr-00129,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.16,5dd53f73,‘Which expression is equivalent to 34x + 34y/?,ASMey,B.SM(0+y) ©.68y 2.682,,,B
ocr-00130,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.17,4ac59df6,Equivalent Expressions 1 ee Which expression is equivalent to (8y2)(y)(72)?,A 5Oy2? 8.56 yz ©. 56yz,,,D.16yz,A
ocr-00131,Math,Advanced Math,Equivalent Expressions,Advanced Math — Equivalent Expressions,Equivalent Expressions 1.pdf,1.18,5d93c782,waa sasserex hich expression is equivalent to 2? + 32 — 407,A.(e-A)(e +10) 8. (2—5)(2+8) ©.(2—8)(2 +5),b.(2—10)(2 +4) waa osseaaat ‘Which expression is equivalent to 20w ~ (dt + 3u)?,,,B
